Date,Vulnerability,Researcher
"Jan 25, 2017",Reflected XSS,k0t
"Mar 28, 2018",Reflected XSS,xx
"Apr 11, 2018",Self-XSS,lacroute
"Apr 28, 2018",Session management,Hamid Ashraf
"Jun 11, 2018",JIRA misconfiguration,Vinoth Kumar
"Jul 14, 2018",Host injection,Ishan Anand
"Jul 27, 2018",Clickjacking,Sahil Mehra
"Jul 27, 2018",Wordpress Pingback DDoS Attack,Anikesh lokhande
"Jul 30, 2018",Improper Logout,Harika Cyberwiz
"Aug 8, 2018",Reflected XSS,Emad Shanab
"Aug 24, 2018",Spamming,Nikhil Bajaj
"Aug 26, 2018",Clickjacking,K.V.Narendra Reddy
"Aug 27, 2018",Clickjacking,Shivam Kamboj
"Sep 1, 2018",Cookie missing secure flag,Ratnadip Gajbhiye
"Oct 4, 2018",Clickjacking,Arun Kumar
"Oct 15, 2018",Clickjacking,Arpit Jain
"Nov 6, 2018",Disclosure of libraries and versions,Bhavesh Thakur
"Nov 21, 2018",Clickjacking,Sparrow Hacks
"Dec 15, 2018",Github wiki unrestricted,Mohammed Israil
"Dec 24, 2018",Open Redirection,Raviraj Powar
"Dec 29, 2018",Race condition in Cashback,Saurabh Sharma
"Mar 10, 2019",Github wiki unrestricted,Sanek Larek
"Apr 29, 2019",Improper Logout,Dinesh Dinz
"May 3, 2019",Potentially Insecure WebView Activity,Dinesh Dinz
"Jul 29, 2019",Broken Admin panel interface,Joel Verghese
"Jul 29, 2019",Reflected XSS,Joel Verghese
"Jul 30, 2019",Web Cache Deception,Pratik Dabhi
"Jul 31, 2019",Web Cache Deception,Joel Verghese
"Jul 31, 2019",Stored XSS,Joel Verghese
"Aug 4, 2019",Weak bruteforce protection for 2FA,Ambuj Kumar
"Sep 4, 2019",Session management,Ishan Anand
"Sep 15, 2019",Session management,Gaurav Popalghat
"Oct 19, 2019",Spamming,Anurag Pathak
"Nov 2, 2019",Improper Logout,Sanyam Jain
"Dec 14, 2019",Reflected XSS,Vikas Rawat
"Dec 20, 2019",Google Maps API Key misconfiguration,Amiya Behera
"Jan 31, 2020",SPF misconfiguration,Krishna Chaitanya
"Feb 23, 2020",CAA configuration,Saim Sardar
"Mar 9, 2020",HTML Injection,Sushmitha Katikitala
"Apr 1, 2020",Google Maps API Key misconfiguration,Vishwas Reddy
"Apr 8, 2020",Google Maps API Key misconfiguration,Shivang Trivedi
"May 9, 2020",Clickjacking,Pritam Mukherjee
"May 23, 2020",Google Maps API Key misconfiguration,Chakka Sai Teja
"May 28, 2020",Potential Subdomain Takeover,Muhammed Korany
"Jul 21, 2020",Google Maps API Key misconfiguration,Prakhar Pipersaniya
"Sep 16, 2020",Spamming,Ali Hassam
"Sep 26, 2020",Weak Password Reset Implementation,Omkar Vetal
"Oct 11, 2020",Reflected XSS in Subdomain,Srikar V
"Dec 19, 2020",Session management,Staford Titus S
"Jan 6, 2021",Denial of Service,Ashwin V
"Jan 30, 2021",Google Maps API Key misconfiguration,Ranjit Pahan
"Jan 30, 2021",API Key misconfiguration,Ranjit Pahan
"Feb 16, 2021",CRLF Injection in a subdomain,Divya Singh
"Mar 18, 2021",Potential Subdomain Takeover,Ganesh Bagaria
"Jun 29, 2021",Insecure Direct Object Reference,Sourabh Dalodia
"Jun 30, 2021",Insecure Direct Object Reference,Sourabh Dalodia
"Aug 7, 2021",EXIF Geolocation Data,Dnyanesh Gawande
"Nov 21, 2021",Google Maps API Key misconfiguration,Subramanian
"Dec 2, 2021",CRLF Injection,Yeswanth Reddy
